modelNameMod2,filePathMod2,hydroModelMod2,settlementRadiusMod2,precompPeriodMod2,dateMod2,spawningSeasonMod2,yearMod2,monthDayMod2,mod1IndMod2,mod2IndMod2,dayMod2,spawningSeasonYearMod2
conMat_SLIM_0p5km_compSurvTc15_20200114,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20200114.mat,SLIM,0.5,15,20200114,2019-20,2020,0114,88,88,45,2019
conMat_SLIM_0p5km_compSurvTc15_20200121,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20200121.mat,SLIM,0.5,15,20200121,2019-20,2020,0121,89,89,52,2019
conMat_SLIM_0p5km_compSurvTc15_20200128,../Data/connectivityMats/SLIM/enlargeDist0p5km/compSurvTc15/conMat_SLIM_0p5km_compSurvTc15_20200128.mat,SLIM,0.5,15,20200128,2019-20,2020,0128,90,90,59,2019
conMat_SLIM_1km_compSurvTc9_20191201,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20191201.mat,SLIM,1,9,20191201,2019-20,2019,1201,91,91,1,2019
conMat_SLIM_1km_compSurvTc9_20191207,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20191207.mat,SLIM,1,9,20191207,2019-20,2019,1207,92,92,7,2019
conMat_SLIM_1km_compSurvTc9_20191214,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20191214.mat,SLIM,1,9,20191214,2019-20,2019,1214,93,93,14,2019
conMat_SLIM_1km_compSurvTc9_20191221,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20191221.mat,SLIM,1,9,20191221,2019-20,2019,1221,94,94,21,2019
conMat_SLIM_1km_compSurvTc9_20191228,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20191228.mat,SLIM,1,9,20191228,2019-20,2019,1228,95,95,28,2019
conMat_SLIM_1km_compSurvTc9_20200101,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20200101.mat,SLIM,1,9,20200101,2019-20,2020,0101,96,96,32,2019
conMat_SLIM_1km_compSurvTc9_20200107,../Data/connectivityMats/SLIM/enlargeDist1km/compSurvAll/conMat_SLIM_1km_compSurvAll_20200107.mat,SLIM,1,9,20200107,2019-20,2020,0107,97,97,38,2019
